yf_symbol,trailingPE,priceToBook,returnOnEquity,debtToEquity,coffeeCan,coffeeCanReasons,piotroskiScore,fetched_at
IOB.NS,11.047138,1.6245793,0.16525999,,False,,5,1788079209
IRCTC.NS,28.007496,9.017398,,1.874,True,"Consistently profitable, compounding business: 49% average return on capital over 4 years, growing revenue 14% a year",5,1788079210
IRFC.NS,15.394496,1.9303775,,773.347,False,,5,1788079211
IREDA.NS,16.693295,2.3846593,,565.671,False,,3,1788079212
IGL.NS,16.13224,1.7948905,,0.848,False,,6,1788079213
INDUSTOWER.NS,14.006635,2.4216006,0.18912001,51.79,False,,7,1788079214
INDUSINDBK.NS,59.166668,1.1774572,,,False,,5,1788079215
NAUKRI.NS,54.0519,2.3132803,,0.64,False,,6,1788079216
INFY.NS,14.225317,5.0451603,0.32,9.541,False,,7,1788079217
INOXWIND.NS,31.213045,1.6826832,,20.631,False,,3,1788079218
INTELLECT.NS,27.374146,2.9746041,,4.961,True,"Consistently profitable, compounding business: 17% average return on capital over 4 years, growing revenue 11% a year",6,1788079218
INDIGO.NS,,28.65034,,866.462,True,"Consistently profitable, compounding business: 101% average return on capital over 4 years, growing revenue 16% a year",5,1788079219
IGIL.NS,28.603376,9.844041,,9.594,True,"Consistently profitable, compounding business: 30% average return on capital over 4 years, growing revenue 30% a year",7,1788079220
IKS.NS,39.312805,10.52814,,26.873,True,"Consistently profitable, compounding business: 30% average return on capital over 4 years, growing revenue 46% a year",6,1788079221
IPCALAB.NS,37.84051,6.136049,,8.492,False,,8,1788079222
JKCEMENT.NS,42.20562,5.674956,,87.522,False,,7,1788079223
JBMA.NS,67.60274,13.288661,,190.282,False,,5,1788079224
JKTYRE.NS,16.482445,1.8086989,,80.551,False,,6,1788079225
JMFINANCIL.NS,12.004642,1.1602175,,102.435,False,,6,1788079226
JSWCEMENT.NS,22.245115,2.5643964,,68.39,False,,6,1788079227
JSWDULUX.NS,7.215959,5.7785473,,,False,,5,1788079228
JSWENERGY.NS,42.55167,3.0570402,,229.16,False,,5,1788079229
JSWINFRA.NS,47.631947,6.5742054,,59.002,False,,5,1788079230
JSWSTEEL.NS,13.149134,3.2565367,,95.374,False,,8,1788079231
JAINREC.NS,26.662037,6.5073447,,81.887,True,"Consistently profitable, compounding business: 20% average return on capital over 4 years, growing revenue 45% a year",5,1788079232
JPPOWER.NS,24.028572,1.2913628,,26.634,False,,7,1788079233
J&KBANK.NS,7.174079,1.0014086,0.14609,,False,,3,1788079233
JINDALSAW.NS,30.31434,1.5638858,,38.19,False,,6,1788079234
JSL.NS,17.924505,12.908453,,37.523,False,,6,1788079235
JINDALSTEL.NS,43.852734,2.356788,,43.613,False,,7,1788079236
JIOFIN.NS,74.03726,1.127528,,16.286,False,,3,1788079237
